Question,Good_answer,Suggested_answer_1,Suggested_answer_2,Suggested_answer_3,,Level,Subthemes,Category,Quizz_ordering
Un film produit à bollywood est ?,indien ,burkinabé,australien,japonais,,1,Culture G #1,culture générale,1
"Avec ""Ben Hur"" et ""Titanic"", quel est le troisième film à avoir remporté le plus grand nombre de statuettes, à savoir 11 ?",Seigneur des Anneaux: Le Retour du Roi,West side Story,Le dernier empereur,Le patient anglais,,1,Culture G #1,culture générale,1
Quelle actrice a remporté le plus d'oscars ?,Katharine Hepburn,Meryl Streep,Bette Davis,Ingrid Bergman,,1,Culture G #1,culture générale,1
"En quelle année, les Oscars du cinéma ont-ils été créés ?",1929,1934,1956,1952,,1,Culture G #1,culture générale,1
"Avec Willian Wyler, quel réalisateur a remporté le plus de statuettes ?",Frank Capra,Clint Eastwood,Francis Ford Coppola,Robert Wise,,1,Culture G #1,culture générale,1
Qui a inventé le cinema ?,Frere lumière,Thomas Edison,Nikola Tesla,Alfred Nobel,,1,Culture G #1,culture générale,1
"Quel est le film d'animation,  Walt Disney Animation Studios, premier au box office mondial (plus grande recette) ?",Le Roi Lion,La reine des neiges 2,Zootopie,Raiponce,,1,Culture G #1,culture générale,1
Qui a composé la musique du seigneur des anneaux ?,Howard Shore,James Horner,Hans Zimmer,John Williams,,1,Culture G #1,culture générale,1
Quel fut le premier dessin animé de Walt Disney ?,Blanche-Neige et les Sept Nains,Pinocchio,Fantasia,Bambi,,1,Culture G #1,culture générale,1
Quelle bande d'humoristes jouent dans La cité de la peur ?,Les nuls,Les incconus,Le splendid,Le Velcrou,,1,Culture G #1,culture générale,1
Quel acteur a remporté le plus de fois l'oscar du meilleur acteur ?,Daniel Day-Lewis,Marlon Brando,Jack Nicholson,Fredric March,,1,Culture G #1,culture générale,2
Quelle est la première actrice française a remporté l’Oscar de la meilleure actrice ?,Claudette Colbert,Simone Signoret,Isabelle Adjani,Marion Cotillard,,1,Culture G #1,culture générale,2
"En quelle année, les Césars du cinéma ont-ils été créés ?",1976,1954,1937,1965,,1,Culture G #1,culture générale,2
"Avec Cyrano de Bergerac, quel est l’autre film qui a obtenu 10 Césars ?",Le Dernier Métro,Un prohète,De battre mon coeur s'est arrêté,Providence,,1,Culture G #1,culture générale,2
Quel film de Quentin Tarantino sorti au mois d’août 2009 avec Mélanie Laurent et Brad Pitt ?,Inglourious Basterds,Django Unchained,: Boulevard de la mort,Kill Bill : Volume 2,,1,Culture G #1,culture générale,2
Qui a composé la musique du film  Titanic ?,James Horner,Ennio Morricone,Hans Zimmer,John Williams,,1,Culture G #1,culture générale,2
Quel enfant a recu un cachet de 8 millions de dollars pour le film Maman j'ai encore raté l'avion ?,Macaulay Culkin,Jake Lloyd,Haley Joel Osment,Danny Lloyd,,1,Culture G #1,culture générale,2
En quelle année fut inventé le cinématographe ?,1895,1873,1907,1883,,1,Culture G #1,culture générale,2
